id,name,note,nbr_avis,type,quartier,prix
28,ZÉBULON,5/5,1,Cuisine française,75001,€€
29,LE MATHUSALEM,5/5,1,Bistrot – Brasserie,75016,€€
30,LE CINQ,5/5,1,Cuisine française,75008,€€€
31,BERNARD DU 15,5/5,1,Cuisine française,75015,€€
32,JÉSUSPARADIS,5/5,1,Restaurant portugais,75010,€€
33,L'ÉVASION,5/5,1,Bistrot – Brasserie,75008,€€
34,LE PASSY,5/5,1,Cuisine française,75016,€€
35,CHEZ PIERROT,5/5,1,Bistrot – Brasserie,75014,€
36,CHEZ JOY,5/5,1,Restaurant vietnamien,75014,€
37,MOBSTER-DINER,5/5,1,Restaurant américain,75005,€
38,JET SET,5/5,1,Restaurant iranien,75008,€€
39,TOPOLINO,5/5,1,Restaurant italien et pizzeria,75008,€€
40,MONSIEUR JACQUES,5/5,1,Bistrot – Brasserie,75009,€
41,BALLS,5/5,1,Cuisine française,75011,€
42,TRÈS HONORÉ,5/5,1,Cuisine française,75001,€€
43,L'INVITÉE,5/5,1,Bistronomie,75005,€€
44,LE BAR À SUSHI IZUMI,5/5,1,Restaurant japonais,75008,€€
45,PIZZA ROSSI,5/5,1,Restaurant italien et pizzeria,75002,€
46,TAOKAN,5/5,1,Restaurant chinois,75006,€€
47,LE TASTEVIN,5/5,1,Cuisine française,75004,€€€
48,LUCAS CARTON,5/5,1,Gastronomique,75008,€€€
49,LA TUTE,5/5,1,Restaurant du Sud-Ouest,75009,€€
0,LA LOZÈRE,5/5,1,Cuisine française régionale,75006,€€
1,WILLETTE,5/5,1,Bistrot – Brasserie,75009,€
2,LE CENTRE DU MONDE,5/5,1,Bistrot – Brasserie,75005,€€
3,TAPPO,5/5,1,Restaurant italien et pizzeria,75003,€
4,CHIKOJA,5/5,1,Restaurant japonais,75001,€
5,AU LOUP,5/5,1,Bistrot – Brasserie,75009,€
6,LITTLE CAFÉ,5/5,1,Cuisine française,75004,€€
7,LE PETIT PONTOISE,5/5,1,Cuisine française,75005,€€
8,YUMAN,5/5,1,Restaurant bio,75013,€€
9,BLUE VALENTINE,5/5,1,Cuisine française,75011,€€
10,ECLECTIC,5/5,1,Bistrot – Brasserie,75015,€€
11,PETROSSIAN LE 144,5/5,1,Cuisine française,75007,€€
12,YEKO,5/5,1,Restaurant japonais,75012,€
13,LE BAR A MOMOS,5/5,1,Restaurant tibétain – népalais,75012,€
14,NAGOYA,5/5,1,Restaurant japonais,75017,€
15,LE PETIT PAN,5/5,1,Cuisine française,75015,€€
16,ROCA,5/5,1,Bistrot – Brasserie,75017,€€
17,L'HUÎTRIER,5/5,1,Restaurant fruits de mer – Poissons,75017,€€
18,LE KELLER - HÔTEL CHAMPS-ÉLYSÉES PLAZA,5/5,1,Restaurant d’hôtel,75008,€€
19,L'ÉTINCELLE,5/5,1,Restaurant auvergnat,75009,€
20,VAVA,5/5,1,Cuisine française,75018,€€
21,BARAK,5/5,1,Restaurant turc,75010,€€
22,LE SEVERO,5/5,1,Cuisine française,75014,€€
23,KORAT,5/5,1,Restaurant thaïlandais,75018,€€
24,CHABROT,5/5,1,None,75008,€€
25,GAYA,5/5,1,Restaurant fruits de mer – Poissons,75007,€€€
26,DÉLICE DE L'INDE,"4,5/5",6,Restaurant indien,75017,€€
27,LE CONTI,5/5,1,Restaurant italien et pizzeria,75016,€€
28,PASCO,5/5,1,Cuisine française,75007,€€
29,LE PUITS DE LÉGUMES,5/5,1,Restaurant végétarien,75005,€€
30,LES TROIS FONT LA PAIRE,5/5,1,Cuisine française,75005,€€
31,LA VILLA PAPILLON,5/5,1,Restaurant thaïlandais,75002,€€
32,EBIS,5/5,1,Restaurant japonais,75001,€€
33,VOLVER,5/5,1,Restaurant argentin,75011,€€
34,PAVILLON LEDOYEN,5/5,1,Gastronomique,75008,€€€
35,BISTRO D'ITALIE,5/5,1,Restaurant italien et pizzeria,75017,€€
36,ROMANTICA CAFFE PONTHIEU,5/5,1,Restaurant italien et pizzeria,75008,€€
37,LE REYNOU,5/5,1,Bistrot – Brasserie,75001,€€
38,LE PETIT PERGOLESE,5/5,1,Cuisine française,75116,€€
39,MERCERIE MULLOT,5/5,1,Restaurant fruits de mer – Poissons,75006,€€
40,LA TERRASSE,5/5,1,Bistrot – Brasserie,75016,€€
41,LE PETIT VENDÔME,5/5,1,Bistrot – Brasserie,75002,€€
42,LES TOQUÉS,5/5,1,Bistrot – Brasserie,75018,€€
43,COMME CHAI TOI,5/5,1,Cuisine française,75005,€€
44,STUBE,5/5,1,Restaurant allemand,75001,€€
45,LE BISTROT DES VIGNES,5/5,1,Cuisine française,75016,€€
46,LE COCHON A L'OREILLE,5/5,1,Cuisine française,None,€€
47,IZAKAYA ISSÉ,5/5,1,Restaurant japonais,75001,€€
48,BISTROT BELHARA,5/5,1,Cuisine française,75007,€€
49,LA BULLE,5/5,1,Cuisine française,75010,€€
0,CHEZ CLAUDE,5/5,1,Cuisine française,75001,€€
1,BRASILEIRINHO,5/5,1,Restaurant brésilien,75017,€
2,ZINC ZEN CAFÉ,5/5,1,Bistrot – Brasserie,75015,€€
3,RESTAURANT LE METROPOLITAN,5/5,1,Restaurant d’hôtel,75016,€€
4,LE TOUCAN,"3,8/5",13,Bistrot – Brasserie,75015,€€
5,LEONI'S DELI,5/5,1,Restaurant américain,75002,€
6,CHEZ LY - PALACE DE CHINE,5/5,1,Restaurant chinois,75017,€€
7,LE W - HÔTEL LE WARWICK,5/5,1,Restaurant d’hôtel,75008,€€
8,L'ATELIER DES COMPÈRES,5/5,1,Bistrot – Brasserie,75008,€€€
9,ROMANTICA CAFFE INVALIDES,5/5,1,Restaurant italien et pizzeria,75007,€€
10,L'ABSINTHE,5/5,1,Cuisine française,75001,€€
11,À L'ENDROIT,5/5,1,Bistrot – Brasserie,75019,€€
12,POLLOP,5/5,1,Cuisine française,75002,€€
13,SAPORI,5/5,1,Restaurant italien et pizzeria,75012,€€
14,BELLOTA-BELLOTA® CHAMPS-ÉLYSÉES,5/5,1,Restaurant espagnol,75008,€
15,TAN DINH,5/5,1,Restaurant vietnamien,75007,€€
16,KIYOMIZU,5/5,1,Restaurant japonais,75008,€€
17,HYOTAN,5/5,1,Restaurant japonais,75008,€
18,LIDO,5/5,1,Restaurant chinois,75010,€
19,LA NOUVELLE MER DE CHINE,5/5,1,Restaurant chinois,75013,€€
20,OUM EL-BANINE,5/5,1,Restaurant marocain,75016,€€
21,A L'HEURE DU VIN,5/5,1,Restaurant corse,75002,€€
22,GARANCE,5/5,1,Cuisine française,75007,€€
23,CASA LUCA,5/5,1,Restaurant italien et pizzeria,75008,€€
24,RELAIS ODÉON,5/5,1,Cuisine internationale – Fusion,75006,€€
25,LES 110 DE TAILLEVENT,5/5,1,Bistrot – Brasserie,75008,€€
26,MUSCADE,5/5,1,Cuisine française,75001,€€
27,SEPTIME,5/5,1,Cuisine française,75011,€€
28,MIYAKO,"4,3/5",8,Restaurant japonais,75007,€€
29,LA TABLE DES INSOLENTS,5/5,1,Cuisine française,75015,€€
30,SUN CAFÉ,5/5,1,Restaurant japonais,75004,€
31,PIROUETTE,5/5,1,Bistrot – Brasserie,75001,€€
32,SOURIRE D'ASIE,5/5,1,Restaurant vietnamien,75012,€€
33,GINZA,5/5,1,Restaurant japonais,75014,€
34,LE CAMÉLIA'S CLUB,5/5,1,Cuisine française,75015,€
35,DESSANCE,5/5,1,Cuisine française,75003,€€
36,RENOMA CAFE GALLERY,5/5,1,Cuisine française,75008,€€
37,CAFÉ MARAIS,5/5,1,Cuisine française,75003,€€
38,BAAN BORAN,5/5,1,Restaurant thaïlandais,75001,€€
39,SECRET SQUARE,5/5,1,Cuisine française,75017,€€€
40,LA GAZETTE,5/5,1,Bistrot – Brasserie,75016,€€
41,LES COCOTTES,"4,5/5",6,Bistrot – Brasserie,75007,€€
42,CHEZ CLÉMENT WAGRAM,5/5,1,Cuisine française,75017,€€
43,L'ALIGOT,5/5,1,Cuisine française régionale,75017,€€€
44,SAMAYA,5/5,1,Restaurant libanais,75015,€€
45,COMICE,5/5,1,Gastronomique,75016,€€€
46,CAFÉ BEAUBOURG,5/5,1,Restauration rapide – À domicile,75004,€€
47,AUX SAVEURS DU MARCHÉ,5/5,1,Cuisine française,75017,€€
48,PORTA DA SELVA,5/5,1,Restaurant brésilien,75010,€
49,SUAVE,5/5,1,Restaurant vietnamien,75013,€€
0,CUCINA,5/5,1,Bistrot – Brasserie,75005,€€
1,THIOU,5/5,1,Restaurant thaïlandais,75007,€€€
2,LE GALLIA,5/5,1,Bistrot – Brasserie,75011,€
3,LUANGPRA,5/5,1,Restaurant thaïlandais,75011,€€
4,PAGE 35,5/5,1,Crêperie,75003,€
5,LA MAISON COURTINE,5/5,1,Cuisine française,75014,€€
6,MAISON ROUGE,5/5,1,Cuisine française,75001,€€
7,NODAIWA,5/5,1,Restaurant japonais,75001,€€
8,LE GRAND PAN,"4,6/5",5,Bistrot – Brasserie,75015,€€€
